GEOID,B08141_E001,B08141_E002,B08141_E003,B08141_E004,B08141_E005,B08141_E016,B08141_E017,B08141_E018,B08141_E019,B08141_E020,B08141_M001,B08141_M002,B08141_M003,B08141_M004,B08141_M005,B08141_M016,B08141_M017,B08141_M018,B08141_M019,B08141_M020
06059052435,3914,0,343,1585,1986,32,0,0,32,0,1537,19,251,489,1732,53,19,19,53,19
06059052436,2561,0,541,699,1321,0,0,0,0,0,466,19,310,248,465,19,19,19,19,19
06059052437,2571,117,491,1398,565,8,0,0,0,8,518,142,277,404,259,16,19,19,19,16
06059052438,3802,78,770,2201,753,27,0,0,27,0,704,92,218,735,280,42,19,19,42,19
06059052439,5569,56,759,2554,2200,0,0,0,0,0,825,49,245,403,794,21,21,21,21,21
06059052502,2755,0,168,1208,1379,0,0,0,0,0,337,19,85,293,287,19,19,19,19,19
06059052505,2111,40,294,1046,731,0,0,0,0,0,285,46,94,223,216,14,14,14,14,14
06059052506,1142,13,147,505,477,0,0,0,0,0,170,16,69,133,144,14,14,14,14,14
06059052511,3183,0,819,910,1454,16,0,16,0,0,659,19,440,290,581,25,19,25,19,19
06059052513,2485,15,261,1517,692,0,0,0,0,0,287,25,110,301,226,19,19,19,19,19
06059052514,2646,27,257,1420,942,14,0,0,14,0,451,31,111,364,325,21,19,19,21,19
06059052518,4773,296,1806,2417,254,55,55,0,0,0,538,147,354,470,176,89,89,19,19,19
06059052519,2219,0,371,877,971,15,0,15,0,0,314,14,136,284,232,23,14,23,14,14
06059052520,1588,17,210,765,596,6,0,0,6,0,210,27,92,181,196,10,14,14,10,14
06059052521,3489,14,1348,1656,471,75,0,75,0,0,368,23,362,454,264,72,19,72,19,19
06059052522,1839,13,337,783,706,0,0,0,0,0,261,19,147,189,253,14,14,14,14,14
06059052523,2339,39,355,1131,814,9,0,0,9,0,243,46,124,235,306,14,14,14,14,14
06059052524,4493,219,719,2718,837,36,36,0,0,0,475,228,268,472,315,54,54,19,19,19
06059052526,2060,84,112,724,1140,0,0,0,0,0,311,103,69,227,289,14,14,14,14,14
06059052527,3807,165,478,1312,1852,61,16,0,0,45,623,150,205,361,625,73,24,19,19,64
06059052528,1676,75,151,760,690,59,0,0,59,0,347,76,80,251,264,61,14,14,61,14
06059052529,1394,31,121,619,623,0,0,0,0,0,297,51,65,234,291,14,14,14,14,14
06059052530,3018,67,564,1876,511,40,0,18,22,0,859,89,171,793,361,33,19,28,35,19
06059052531,2100,30,537,906,627,0,0,0,0,0,517,48,187,257,478,14,14,14,14,14
06059052532,2625,38,1068,941,578,0,0,0,0,0,456,64,306,286,411,19,19,19,19,19
06059052533,3337,43,580,1728,986,14,0,14,0,0,623,71,194,541,381,23,19,23,19,19
06059052534,1196,35,413,690,58,0,0,0,0,0,250,46,231,217,75,14,14,14,14,14
06059052535,2842,108,833,977,924,137,0,0,123,14,603,121,454,337,387,133,19,19,128,25
06059062605,1734,68,848,486,332,25,0,0,25,0,243,67,185,166,153,43,14,14,43,14
06059062610,7808,63,3852,3595,298,0,0,0,0,0,1014,69,819,872,283,21,21,21,21,21
06059062611,1958,155,578,925,300,44,37,0,7,0,385,94,221,282,177,45,44,14,11,14
06059062614,6006,516,2294,2415,781,173,39,0,134,0,835,321,572,629,595,175,64,25,164,25
06059062619,1510,35,270,695,510,0,0,0,0,0,260,32,164,234,174,14,14,14,14,14
06059062620,2565,0,524,1046,995,17,0,17,0,0,376,14,257,301,325,28,14,28,14,14
06059062622,1344,66,697,317,264,0,0,0,0,0,346,83,311,182,187,14,14,14,14,14
06059062625,1893,0,390,1128,375,0,0,0,0,0,368,14,161,227,343,14,14,14,14,14
06059062626,1104,142,406,399,157,0,0,0,0,0,199,142,119,164,103,14,14,14,14,14
06059062627,1711,131,395,503,682,16,0,0,7,9,649,100,159,212,606,19,14,14,12,14
06059062628,1017,10,172,525,310,0,0,0,0,0,133,16,57,145,131,14,14,14,14,14
06059062629,929,0,103,441,385,0,0,0,0,0,91,14,44,87,107,14,14,14,14,14
06059062630,841,0,88,535,218,7,0,0,0,7,210,14,32,212,89,11,14,14,14,11
06059062631,1257,40,47,775,395,0,0,0,0,0,187,45,42,173,136,14,14,14,14,14
06059062632,1744,13,248,812,671,0,0,0,0,0,367,19,101,318,206,14,14,14,14,14
06059062633,3294,0,265,1523,1506,0,0,0,0,0,387,19,112,374,255,19,19,19,19,19
06059062634,2498,0,412,1089,997,6,0,0,6,0,307,14,152,231,276,12,14,14,12,14
06059062635,2687,16,414,1530,727,5,0,0,0,5,381,25,164,417,219,9,14,14,14,9
06059062636,2265,23,460,1017,765,8,0,8,0,0,420,27,168,187,430,14,14,14,14,14
06059062637,3469,184,943,2063,279,16,0,0,16,0,455,243,258,492,148,27,19,19,27,19
06059062638,3415,97,573,1955,790,0,0,0,0,0,367,82,188,389,344,19,19,19,19,19
06059062639,4292,14,665,2261,1352,83,0,70,13,0,471,22,226,468,422,74,19,72,21,19
06059062640,1922,125,526,1040,231,0,0,0,0,0,208,88,118,200,110,14,14,14,14,14
06059062641,2654,8,473,1413,760,11,0,0,11,0,304,13,226,306,243,18,19,19,18,19
06059062642,1221,27,105,594,495,0,0,0,0,0,272,41,52,171,204,14,14,14,14,14
06059062643,2700,0,329,646,1725,0,0,0,0,0,432,19,225,184,416,19,19,19,19,19
06059062645,2940,20,748,1458,714,0,0,0,0,0,485,33,268,338,368,19,19,19,19,19
06059062646,611,31,396,184,0,0,0,0,0,0,208,35,188,112,14,14,14,14,14,14
06059062647,2066,12,608,1254,192,33,0,0,33,0,384,20,193,398,169,52,14,14,52,14
06059062648,619,9,351,179,80,0,0,0,0,0,176,15,141,82,66,14,14,14,14,14
06059062649,1011,54,423,451,83,21,0,21,0,0,215,61,180,139,83,31,14,31,14,14
06059062650,2494,15,235,859,1385,48,0,48,0,0,465,23,112,286,472,73,14,73,14,14
06059062651,1639,0,343,785,511,63,0,0,47,16,440,14,144,290,353,63,14,14,57,28
06059062652,2527,0,376,978,1173,0,0,0,0,0,335,14,189,224,304,14,14,14,14,14
06059062653,4489,14,1563,2387,525,13,0,0,13,0,516,22,357,452,314,20,19,19,20,19
06059062654,4209,20,693,1885,1611,0,0,0,0,0,949,32,267,722,663,19,19,19,19,19
06059062655,1944,55,395,1104,390,0,0,0,0,0,284,69,143,319,191,14,14,14,14,14
06059062656,1633,37,424,841,331,12,0,0,0,12,360,60,238,349,227,21,14,14,14,21
06059062657,1699,31,774,546,348,0,0,0,0,0,471,47,382,239,212,14,14,14,14,14
06059062658,2024,17,338,841,828,0,0,0,0,0,335,30,143,229,339,14,14,14,14,14
06059062701,1010,0,250,561,199,0,0,0,0,0,214,14,113,175,93,14,14,14,14,14
06059062702,2121,0,530,1007,584,0,0,0,0,0,521,14,214,418,341,14,14,14,14,14
06059062800,2061,52,541,915,553,0,0,0,0,0,584,64,319,463,300,14,14,14,14,14
06059062900,678,0,38,506,134,0,0,0,0,0,169,14,22,162,72,14,14,14,14,14
06059063004,3182,85,775,1825,497,0,0,0,0,0,558,98,223,505,263,19,19,19,19,19
06059063005,742,12,317,298,115,0,0,0,0,0,133,13,105,113,74,14,14,14,14,14
06059063006,1104,0,234,574,296,0,0,0,0,0,367,14,108,259,224,14,14,14,14,14
06059063007,2680,0,578,1391,711,46,0,0,12,34,582,19,254,345,485,58,19,19,22,54
06059063008,1492,0,405,900,187,0,0,0,0,0,645,14,131,681,186,14,14,14,14,14
06059063009,749,0,88,309,352,0,0,0,0,0,137,14,67,83,131,14,14,14,14,14
06059063010,3960,21,1438,1871,630,16,0,0,16,0,680,35,377,636,329,28,19,19,28,19
06059063101,1666,0,296,1169,201,10,0,0,0,10,353,14,128,326,108,14,14,14,14,14
06059063102,3659,60,654,1713,1232,0,0,0,0,0,438,85,214,465,347,19,19,19,19,19
06059063103,1764,0,207,875,682,0,0,0,0,0,414,14,97,325,277,14,14,14,14,14
06059063201,1953,43,491,997,422,0,0,0,0,0,272,69,147,219,253,14,14,14,14,14
06059063202,2140,32,367,748,993,0,0,0,0,0,321,40,130,225,344,14,14,14,14,14
06059063301,2255,8,440,1368,439,0,0,0,0,0,371,14,156,364,250,14,14,14,14,14
06059063302,2156,0,378,1110,668,0,0,0,0,0,303,14,134,238,302,14,14,14,14,14
06059063400,2073,0,207,1232,634,0,0,0,0,0,311,14,119,276,223,14,14,14,14,14
06059063500,3030,64,775,950,1241,0,0,0,0,0,622,74,305,305,422,19,19,19,19,19
06059063601,2493,33,389,1591,480,0,0,0,0,0,420,50,201,405,201,14,14,14,14,14
06059063603,3729,28,767,1558,1376,0,0,0,0,0,530,51,220,448,573,19,19,19,19,19
06059063604,2179,34,428,741,976,26,9,0,17,0,350,28,160,251,389,31,14,14,27,14
06059063605,3236,88,740,1326,1082,40,0,20,20,0,428,89,264,366,421,49,19,34,34,19
06059063701,2913,130,486,1307,990,68,0,0,17,51,597,122,145,605,341,87,19,19,29,84
06059063702,3903,131,928,1309,1535,41,0,41,0,0,521,91,326,537,434,38,19,38,19,19
06059063802,1553,11,162,606,774,0,0,0,0,0,328,18,144,166,316,14,14,14,14,14
06059063803,2226,28,314,1091,793,0,0,0,0,0,325,43,106,215,315,14,14,14,14,14
06059063805,1145,49,76,481,539,15,0,0,0,15,154,63,39,96,141,16,14,14,14,16
06059063806,1907,80,126,768,933,0,0,0,0,0,254,72,72,209,287,14,14,14,14,14
06059063807,2907,84,912,1383,528,89,29,60,0,0,574,93,376,433,330,103,34,97,14,14
06059063808,2671,113,454,1163,941,158,41,22,58,37,333,92,149,305,315,94,48,28,64,35
06059063902,4205,38,549,2020,1598,106,16,76,14,0,471,41,226,508,612,112,24,106,23,19
06059063903,1833,34,100,692,1007,12,0,0,0,12,222,54,60,188,245,19,14,14,14,19
06059063904,2088,14,338,820,916,43,0,0,12,31,351,27,151,227,299,41,14,14,19,40
06059063905,2291,0,545,714,1032,8,0,8,0,0,360,14,176,207,318,13,14,13,14,14
06059063906,3569,144,907,1609,909,96,69,27,0,0,772,188,338,429,678,90,91,43,19,19
06059063908,4043,16,1090,1772,1165,94,0,94,0,0,698,27,313,469,640,94,19,94,19,19
06059063909,2588,44,831,1435,278,117,0,0,0,117,471,48,324,447,245,195,14,14,14,195
06059063910,2656,30,521,1000,1105,0,0,0,0,0,382,45,239,258,373,14,14,14,14,14
06059074003,1762,85,306,809,562,33,26,0,7,0,261,66,136,232,194,30,28,14,11,14
06059074004,4459,162,707,2025,1565,187,25,60,82,20,938,174,395,749,470,147,43,95,87,34
06059074005,3319,117,388,629,2185,89,53,17,19,0,594,91,206,231,598,93,82,27,31,19
06059074006,3419,133,935,1695,656,174,38,84,52,0,383,120,239,422,326,143,51,118,65,19
06059074102,3302,23,117,943,2219,180,8,18,96,58,504,34,135,442,501,129,12,45,95,72
06059074103,2960,0,159,473,2328,186,0,0,77,109,571,19,111,246,582,138,19,19,73,117
06059074106,3862,9,530,1718,1605,27,0,5,10,12,512,15,225,369,518,25,19,9,16,19
06059074107,3844,323,998,1774,749,18,0,18,0,0,497,284,273,371,461,29,19,29,19,19
06059074108,2350,46,65,461,1778,6,6,0,0,0,387,56,56,148,387,9,9,14,14,14
06059074109,1492,26,62,237,1167,0,0,0,0,0,250,32,72,97,249,14,14,14,14,14
06059074110,2077,23,162,289,1603,11,0,0,0,11,279,36,143,111,290,18,14,14,14,18
06059074111,2543,78,224,755,1486,7,7,0,0,0,383,70,106,320,375,11,11,19,19,19
06059074200,3969,30,176,920,2843,137,0,0,35,102,618,47,140,269,717,103,19,19,41,96
06059074300,1947,19,116,567,1245,39,13,5,0,21,295,21,131,186,258,28,19,9,14,21
06059074403,2464,39,767,871,787,102,0,72,30,0,413,58,214,243,422,70,19,51,48,19
06059074405,3126,43,762,1241,1080,53,15,7,10,21,482,40,300,314,425,42,23,12,18,29
06059074406,1859,0,306,535,1018,37,0,0,0,37,301,14,156,154,341,42,14,14,14,42
06059074407,2492,73,795,1109,515,25,8,0,0,17,380,57,211,282,291,34,13,19,19,30
06059074408,2610,10,474,871,1255,9,0,9,0,0,393,18,175,315,420,14,19,14,19,19
06059074501,2419,47,554,1195,623,37,0,23,0,14,371,55,219,386,257,42,19,37,19,22
06059074502,2536,33,81,639,1783,29,0,0,10,19,396,52,56,223,397,29,19,19,16,24
06059074601,3521,112,380,1064,1965,128,0,0,50,78,843,102,199,432,861,98,19,19,57,78
06059074602,3850,52,465,1027,2306,91,10,40,0,41,583,68,229,393,586,61,17,36,19,40
06059074701,3445,46,242,346,2811,91,23,0,0,68,644,78,127,187,691,103,39,19,19,91
06059074702,2776,26,354,541,1855,9,9,0,0,0,532,43,239,335,430,14,14,19,19,19
06059074801,2634,19,328,323,1964,17,0,0,0,17,427,32,166,161,446,23,19,19,19,23
06059074802,2622,0,182,1252,1188,8,0,0,0,8,327,19,115,288,422,18,19,19,19,18
06059074803,4650,25,237,904,3484,266,0,11,109,146,565,39,130,302,524,148,19,17,78,114
06059074805,1898,123,456,711,608,83,28,33,22,0,353,67,149,312,204,49,22,40,24,14
06059074806,2413,91,401,481,1440,65,24,8,0,33,435,66,151,131,430,50,40,13,19,25
06059074901,3927,37,702,1016,2172,393,24,85,146,138,660,43,271,357,567,189,37,75,126,132
06059074902,3005,0,414,1372,1219,259,0,10,249,0,664,19,154,675,348,308,19,16,308,19
06059075002,3526,0,777,1191,1558,162,0,39,57,66,652,19,349,454,709,149,19,62,87,104
06059075003,3142,157,1058,1148,779,101,7,57,37,0,471,82,349,350,313,72,11,53,41,19
06059075004,2000,114,757,812,317,179,42,77,51,9,286,67,221,222,172,86,48,64,41,15
06059075100,3455,48,753,984,1670,7,0,0,0,7,648,44,332,364,557,13,19,19,19,13
06059075201,2627,228,141,671,1587,130,48,0,6,76,467,181,147,254,506,91,53,19,10,67
06059075202,2740,23,269,805,1643,32,0,0,32,0,734,38,189,382,751,40,19,19,40,19
06059075301,2696,51,392,1085,1168,128,16,0,86,26,410,51,139,326,324,97,18,19,90,42
06059075302,2422,40,32,1007,1343,30,0,0,7,23,334,41,38,292,405,39,14,14,14,37
06059075303,1699,0,215,823,661,8,0,0,0,8,276,14,93,247,234,13,14,14,14,13
06059075401,2276,121,189,555,1411,0,0,0,0,0,336,197,99,166,280,14,14,14,14,14
06059075403,4383,157,759,1478,1989,27,0,14,13,0,522,154,302,450,427,30,19,22,23,19
06059075404,3892,65,245,2272,1310,50,24,15,0,11,749,70,156,731,335,57,44,25,19,25
06059075405,1622,21,126,695,780,12,0,0,12,0,241,34,59,197,262,19,14,14,19,14
06059075504,2310,45,287,1203,775,27,0,0,27,0,359,46,93,367,226,42,14,14,42,14
06059075505,1775,25,249,852,649,44,0,6,12,26,288,34,105,258,226,36,14,10,19,36
06059075506,1627,19,220,662,726,11,11,0,0,0,277,21,103,254,171,17,17,14,14,14
06059075507,3114,76,604,1427,1007,25,25,0,0,0,422,69,179,353,288,40,40,19,19,19
06059075512,2056,66,352,661,977,22,0,12,10,0,466,60,178,216,443,26,14,19,18,14
06059075513,2472,169,358,1030,915,9,0,9,0,0,466,139,134,283,463,14,14,14,14,14
06059075514,1964,67,267,783,847,76,0,8,37,31,300,70,98,210,318,57,14,13,41,35
06059075516,7058,486,3009,2630,933,171,0,107,64,0,889,304,665,750,736,186,21,160,102,21
06059075517,2550,69,674,1221,586,81,0,52,29,0,505,94,302,388,433,94,19,85,38,19
06059075518,4501,24,1077,2257,1143,0,0,0,0,0,584,40,402,655,561,21,21,21,21,21
06059075603,2183,0,302,990,891,0,0,0,0,0,395,14,190,303,288,14,14,14,14,14
06059075604,3267,0,63,1156,2048,0,0,0,0,0,377,19,68,294,416,19,19,19,19,19
06059075605,2924,0,223,1116,1585,116,0,0,0,116,551,19,116,261,539,183,19,19,19,183
06059075606,2757,126,113,1216,1302,14,0,0,14,0,425,191,67,350,370,25,19,19,25,19
06059075607,3937,18,952,2044,923,15,0,0,15,0,656,29,290,537,343,23,19,19,23,19
06059075701,3891,93,307,1124,2367,45,10,0,35,0,595,93,150,348,560,52,17,19,49,19
06059075702,1469,0,80,531,858,0,0,0,0,0,223,14,80,184,201,14,14,14,14,14
06059075703,1997,0,31,714,1252,0,0,0,0,0,290,14,32,151,312,14,14,14,14,14
06059075805,2191,81,304,680,1126,53,8,0,18,27,332,87,165,256,371,45,12,14,29,33
06059075806,2833,71,246,1412,1104,65,61,0,0,4,365,96,193,418,303,93,92,19,19,8
06059075807,2453,12,119,532,1790,14,0,0,0,14,653,20,70,207,657,25,19,19,19,25
06059075808,1511,32,4,563,912,52,0,0,28,24,214,50,7,182,257,52,14,14,43,30
06059075809,1293,0,42,499,752,0,0,0,0,0,228,14,50,194,228,14,14,14,14,14
06059075810,1166,15,60,297,794,0,0,0,0,0,260,26,46,119,252,14,14,14,14,14
06059075811,1652,6,145,503,998,12,0,0,0,12,310,8,63,149,333,16,14,14,14,16
06059075812,2829,10,554,1078,1187,8,0,0,0,8,325,16,246,252,285,16,19,19,19,16
06059075813,2462,86,202,785,1389,0,0,0,0,0,297,73,129,226,287,14,14,14,14,14
06059075814,1421,0,140,766,515,0,0,0,0,0,223,14,83,191,177,14,14,14,14,14
06059075815,2741,64,221,865,1591,6,0,0,6,0,510,71,112,234,549,9,19,19,9,19
06059075816,1691,0,245,866,580,14,0,0,14,0,203,14,145,254,219,22,14,14,22,14
06059075901,2419,52,577,1016,774,23,0,13,10,0,456,47,189,263,411,24,14,19,16,14
06059075902,3910,476,1025,1332,1077,112,112,0,0,0,572,300,359,500,424,114,114,19,19,19
06059076001,4314,96,618,1826,1774,40,0,0,40,0,655,107,269,435,563,66,19,19,66,19
06059076002,1461,142,463,545,311,0,0,0,0,0,358,170,210,306,153,14,14,14,14,14
06059076102,2814,60,664,1136,954,16,0,0,0,16,476,53,159,445,357,28,19,19,19,28
06059076103,4857,0,1021,1833,2003,73,0,19,43,11,575,19,493,465,542,62,19,31,46,18
06059076104,4255,82,707,2545,921,0,0,0,0,0,599,141,286,516,411,19,19,19,19,19
06059076105,2415,145,322,669,1279,92,30,0,0,62,552,138,234,436,425,66,35,14,14,52
06059076201,3888,40,189,1707,1952,11,11,0,0,0,578,47,119,395,575,21,21,19,19,19
06059076202,3261,84,456,1455,1266,51,0,0,51,0,425,90,255,394,226,74,19,19,74,19
06059076204,1929,11,468,709,741,13,0,0,13,0,271,17,188,221,319,19,14,14,19,14
06059076205,2616,0,355,788,1473,39,0,10,0,29,366,19,132,195,416,32,19,16,19,30
06059076206,2811,29,344,1018,1420,0,0,0,0,0,537,47,152,459,445,19,19,19,19,19
06059076208,3065,0,205,1404,1456,11,0,0,11,0,444,19,86,433,272,16,19,19,16,19
06059086301,3546,72,416,927,2131,62,11,0,38,13,437,85,175,254,365,46,19,19,38,20
06059086303,7054,0,1498,3808,1748,95,0,21,74,0,1086,21,588,905,693,96,21,36,85,21
06059086304,2211,72,293,1117,729,50,21,20,0,9,365,75,113,238,307,50,32,33,14,15
06059086305,2520,0,61,513,1946,0,0,0,0,0,805,14,50,286,811,14,14,14,14,14
06059086306,1938,17,212,733,976,0,0,0,0,0,309,29,107,261,270,14,14,14,14,14
06059086402,2882,0,154,900,1828,19,0,11,8,0,788,19,74,542,640,20,19,14,14,19
06059086404,3265,13,388,756,2108,0,0,0,0,0,653,15,207,336,664,19,19,19,19,19
