route,fy,boardings,rvh
1,fy2020,458294,40549
25,fy2020,299911,19315
26,fy2020,350972,21717
29,fy2020,1522420,68122
30,fy2020,555483,27710
33,fy2020,294234,14843
35,fy2020,647987,31934
37,fy2020,868177,37928
38,fy2020,821807,37783
42,fy2020,1261278,51369
43,fy2020,1781035,63796
46,fy2020,509693,24789
47,fy2020,1723659,71273
50,fy2020,1061157,50662
53,fy2020,1230116,44342
54,fy2020,977610,44705
55,fy2020,1065394,53903
56,fy2020,337349,18915
57,fy2020,1730735,67315
59,fy2020,437567,28217
60,fy2020,1647095,63269
64,fy2020,1349122,41528
66,fy2020,1698471,55700
70,fy2020,732855,37690
71,fy2020,588274,35164
72,fy2020,413271,20188
76,fy2020,62249,5136
79,fy2020,343734,25011
82,fy2020,58415,3183
83,fy2020,473504,31558
85,fy2020,52237,6241
86,fy2020,103736,8448
87,fy2020,52530,5353
89,fy2020,282565,17730
90,fy2020,248979,18394
91,fy2020,315205,26349
123,fy2020,21017,2655
129,fy2020,160748,12688
143,fy2020,155708,12089
150,fy2020,126949,7253
153,fy2020,96317,11272
167,fy2020,147237,10946
177,fy2020,63909,5634
178,fy2020,63504,6578
206,fy2020,8881,981
213,fy2020,7691,1963
453,fy2020,23201,1854
463,fy2020,13360,2963
472,fy2020,22001,1895
473,fy2020,32665,1822
480,fy2020,18021,1752
529,fy2020,243868,18420
53X,fy2020,483523,16832
543,fy2020,726602,30262
560,fy2020,533867,24746
57X,fy2020,775154,24931
64X,fy2020,435532,11947
701,fy2020,18464,1847
721,fy2020,15223,2775
794,fy2020,21681,2913
862,fy2020,45106,6339
1,fy2021,350053,32481
25,fy2021,159875,13243
26,fy2021,142883,12016
29,fy2021,1361420,69874
30,fy2021,285290,16663
33,fy2021,117756,8057
35,fy2021,397517,23283
37,fy2021,481459,29094
38,fy2021,475756,28783
42,fy2021,793949,41174
43,fy2021,1270663,64885
46,fy2021,267879,17621
47,fy2021,1136922,60002
50,fy2021,763463,49209
53,fy2021,1237936,57953
54,fy2021,543279,31424
55,fy2021,736827,47633
56,fy2021,217673,15672
57,fy2021,1632887,85733
59,fy2021,182246,16646
60,fy2021,1427161,72836
64,fy2021,1292120,58411
66,fy2021,1178627,52126
70,fy2021,433385,31450
71,fy2021,354745,26003
72,fy2021,251898,14589
76,fy2021,53941,6648
79,fy2021,132167,15396
82,fy2021,31571,3872
83,fy2021,314410,28812
85,fy2021,37760,7998
86,fy2021,74521,10980
87,fy2021,49684,7041
89,fy2021,163187,11683
90,fy2021,128756,11335
91,fy2021,216593,24010
123,fy2021,98218,16202
129,fy2021,117759,11505
143,fy2021,104247,10477
153,fy2021,78158,9964
167,fy2021,71815,14623
177,fy2021,56516,7305
178,fy2021,45333,8550
453,fy2021,10921,1601
463,fy2021,9523,3017
472,fy2021,14731,1792
473,fy2021,8766,1805
480,fy2021,8743,1485
543,fy2021,390884,22346
862,fy2021,34883,6321
1,fy2022,371905,33392
25,fy2022,235620,17497
26,fy2022,270542,20223
29,fy2022,1530155,65430
30,fy2022,339913,19453
33,fy2022,176369,12384
35,fy2022,492791,27300
37,fy2022,674485,34381
38,fy2022,726984,37074
42,fy2022,1013202,46362
43,fy2022,1592691,64112
46,fy2022,328073,19842
47,fy2022,1569775,67548
50,fy2022,984239,53109
53,fy2022,1342094,60898
54,fy2022,750452,35920
55,fy2022,942633,49856
56,fy2022,307282,20462
57,fy2022,2189526,83232
59,fy2022,311009,23412
60,fy2022,1470809,56738
64,fy2022,1627400,55985
66,fy2022,1576413,52235
70,fy2022,610074,38591
71,fy2022,423079,27516
72,fy2022,347286,21994
76,fy2022,81443,6620
79,fy2022,258522,19561
82,fy2022,57776,3898
83,fy2022,419400,31771
85,fy2022,53021,8025
86,fy2022,94730,11267
87,fy2022,62237,7067
89,fy2022,232981,15306
90,fy2022,206856,18260
91,fy2022,291052,27266
123,fy2022,147506,16252
129,fy2022,150250,13241
143,fy2022,140419,12929
150,fy2022,141592,9640
153,fy2022,96958,10491
167,fy2022,133413,15080
177,fy2022,77241,7374
178,fy2022,68936,8813
453,fy2022,13609,1594
463,fy2022,13139,3160
472,fy2022,18110,1784
473,fy2022,27372,1898
480,fy2022,10814,1468
529,fy2022,86674,5521
543,fy2022,599509,27880
560,fy2022,395079,
862,fy2022,58348,9287
1,fy2023,413794,34493
25,fy2023,312976,21496
26,fy2023,395119,24890
29,fy2023,1512388,61844
30,fy2023,411317,21639
33,fy2023,277911,17160
35,fy2023,560959,28160
37,fy2023,774011,34850
38,fy2023,850022,40536
42,fy2023,1155598,47661
43,fy2023,1836251,67022
46,fy2023,460079,22994
47,fy2023,1834741,69633
50,fy2023,1075377,54256
53,fy2023,1265150,50148
54,fy2023,863248,40050
55,fy2023,1084139,51314
56,fy2023,395808,21407
57,fy2023,2459448,82887
59,fy2023,434694,27147
60,fy2023,1613660,58989
64,fy2023,1788531,56006
66,fy2023,1795263,54059
70,fy2023,728991,38630
71,fy2023,470017,27026
72,fy2023,431283,25145
76,fy2023,86616,6497
79,fy2023,361177,24619
82,fy2023,58808,3865
83,fy2023,482236,34100
85,fy2023,61241,7936
86,fy2023,118190,11164
87,fy2023,66904,6983
89,fy2023,264849,16391
90,fy2023,264799,19409
91,fy2023,350546,28449
123,fy2023,204240,16685
129,fy2023,167182,14068
143,fy2023,192856,15886
150,fy2023,223565,12586
153,fy2023,68411,6653
167,fy2023,180830,15434
177,fy2023,81025,7433
178,fy2023,82600,9004
453,fy2023,15583,1669
463,fy2023,8207,1775
472,fy2023,21556,1741
473,fy2023,38488,1941
480,fy2023,13162,1483
529,fy2023,240759,13022
543,fy2023,619180,25691
553,fy2023,266142,13764
560,fy2023,448113,21486
862,fy2023,73063,9717
